Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,Q43A,Q44A,Q45A,Q46A,Q47A,Q48A,Q49A,Q50A,Q51A,Q52A,Q53A,Q54A,Q55A,Q56A,T1A,T2A,T3A,T4A,T5A,T6A,country,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize
2,3,3,3,1,3,3,2,1,3,1,4,1,4,2,1,3,1,4,3,2,2,3,3,2,4,2,3,3,4,3,3,4,4,4,2,4,3,4,3,4,4,2,3,3,3,3,4,4,2,4,4,4,2,4,3,1,1,2,1,2,2,US,2,6,1,5,6,5,5,7,3,1,2,2,1,1,28,1,12,2,6,2,1,9
4,4,2,3,3,2,2,2,3,4,4,3,2,4,4,2,4,2,3,2,3,3,4,2,3,4,3,4,4,4,1,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,1,2,4,4,4,4,4,4,4,3,1,1,2,2,1,1,ID,5,7,4,5,7,7,6,7,6,3,2,1,2,2,19,1,6,1,1,2,1,2
3,3,3,2,2,3,3,2,3,3,1,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,3,3,3,3,2,2,2,4,3,3,3,2,2,3,1,2,3,3,3,3,3,3,2,2,1,2,2,2,1,AU,5,6,3,4,5,4,3,5,6,3,2,2,1,1,16,1,1,1,1,2,1,2
3,3,3,4,4,4,3,4,3,3,1,3,4,3,3,4,3,3,2,3,3,3,3,4,2,3,3,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,4,2,4,3,3,4,4,3,3,4,4,3,3,2,1,2,1,1,1,US,6,3,6,5,5,3,6,3,5,1,3,2,2,1,22,1,7,1,6,2,1,3
3,2,3,4,3,2,2,2,1,2,1,4,2,3,3,4,2,4,3,3,2,4,4,1,1,2,1,3,4,4,3,4,4,4,4,4,2,3,4,3,3,4,4,4,3,2,3,3,2,4,1,3,2,2,3,4,2,1,2,1,2,2,NONE,1,2,7,1,6,7,7,1,7,3,0,3,1,2,51,1,12,1,6,2,3,2
3,1,3,3,1,2,4,3,2,4,3,4,4,4,2,4,3,2,1,2,1,3,4,4,3,4,2,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,1,3,1,1,4,1,3,1,3,2,3,1,1,2,1,1,1,2,IT,7,5,5,5,6,7,1,5,6,1,2,1,1,2,18,1,2,1,6,2,1,2
3,3,3,4,4,4,3,4,4,3,3,4,3,4,2,3,3,3,3,3,2,2,3,3,3,2,2,2,2,3,3,3,3,3,4,2,1,2,2,3,3,3,3,4,1,4,2,4,4,4,3,3,4,3,3,4,1,1,2,1,2,2,US,6,4,2,6,6,2,7,5,4,1,4,2,2,1,76,1,12,1,6,1,3,6
2,2,3,3,2,3,3,2,3,2,2,3,2,3,3,1,2,2,3,3,3,2,2,3,3,3,3,3,2,2,2,2,3,2,3,2,3,2,2,2,2,2,3,3,3,2,3,4,3,3,3,4,3,2,3,3,2,1,2,1,2,2,IN,5,3,3,5,6,4,6,5,3,4,4,3,2,1,28,1,8,1,1,1,1,2
3,4,4,4,2,3,4,2,1,3,1,3,1,4,3,1,2,1,2,3,2,2,2,3,2,4,2,3,2,2,3,3,4,2,4,2,2,2,2,4,4,3,2,4,3,2,2,2,4,3,4,2,3,3,4,3,1,1,2,2,2,2,MY,4,6,2,3,7,6,4,7,3,2,1,2,2,1,15,2,7,4,1,2,1,2
2,2,3,4,2,3,3,4,2,3,1,3,1,3,3,3,4,3,3,2,3,3,2,4,2,1,4,3,2,1,2,3,4,2,4,4,1,1,2,2,2,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,1,2,1,2,1,GB,1,1,7,7,4,7,7,6,1,1,3,3,2,2,27,1,7,1,6,2,2,2
3,2,2,3,2,4,2,2,2,3,1,3,2,3,3,4,2,4,3,3,4,3,3,3,3,4,4,4,2,4,3,4,4,3,4,3,4,2,3,3,3,4,4,4,2,4,3,4,4,4,4,4,4,4,3,4,1,1,2,1,2,2,US,2,6,6,6,7,7,7,5,2,3,3,2,1,1,22,1,6,1,6,1,1,1
2,2,3,3,4,2,4,3,2,3,1,3,3,3,3,4,2,2,2,3,1,3,3,2,3,4,3,2,1,3,2,3,2,1,4,2,3,1,4,3,3,4,4,4,2,3,2,3,1,4,4,4,3,1,3,4,1,1,2,1,2,2,IN,6,7,4,5,7,3,7,5,6,2,4,3,1,2,36,1,8,1,1,1,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,3,3,3,4,3,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,1,4,3,4,1,4,1,2,3,1,1,2,2,1,1,NZ,7,6,7,1,7,1,6,5,7,1,2,1,1,1,25,1,2,1,6,2,1,1
2,2,2,4,2,2,4,4,2,4,2,3,1,4,3,4,1,3,2,2,1,3,4,3,1,4,1,4,3,1,4,3,3,4,4,4,4,2,3,2,4,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,1,2,1,2,1,US,1,5,5,5,5,7,7,5,3,3,2,3,2,1,31,1,2,2,6,1,1,1
4,4,4,4,2,2,4,4,3,2,3,4,3,4,3,2,3,3,3,4,2,3,3,3,3,4,4,3,3,3,3,3,3,3,4,2,3,1,4,3,4,3,4,4,3,3,4,4,3,4,4,3,4,2,3,3,1,1,2,1,2,2,PH,5,6,3,6,7,5,6,7,6,4,2,1,1,1,17,1,5,1,1,2,1,4
1,3,3,4,4,2,2,2,1,1,1,3,1,2,2,4,2,1,3,3,1,3,3,3,3,4,1,2,4,1,2,3,3,2,3,2,1,1,3,3,3,3,1,4,1,4,2,3,4,4,4,4,3,4,2,4,2,1,2,2,2,2,AU,1,2,5,7,6,7,7,5,2,1,2,2,2,1,46,1,12,3,6,2,1,4
3,3,4,4,2,4,3,3,3,4,4,4,2,2,1,2,1,1,3,2,1,3,1,3,3,1,1,2,1,1,1,2,4,1,3,2,2,1,2,1,3,1,4,3,3,2,3,4,4,4,4,4,4,3,4,4,1,1,2,2,2,2,US,5,2,2,6,7,5,6,7,2,1,2,2,1,1,21,2,1,3,6,1,1,2
1,3,2,2,3,3,2,2,2,2,2,2,2,2,4,4,4,3,4,3,2,3,3,3,4,4,4,4,3,2,4,4,3,2,3,3,2,1,4,4,4,3,3,3,2,4,3,4,4,3,3,3,4,3,4,4,2,2,1,1,1,2,TR,5,6,6,7,3,5,5,5,3,2,3,3,1,2,21,1,12,2,7,1,1,2
3,2,3,4,2,4,3,4,1,2,1,4,2,3,2,3,2,2,3,2,1,2,3,1,1,2,1,1,4,2,4,4,4,3,3,2,2,1,2,2,2,2,1,1,1,3,2,3,2,3,3,2,3,3,3,3,1,1,2,1,1,1,DK,1,6,6,2,6,6,3,5,6,2,4,1,1,1,31,1,2,2,6,2,1,3
1,3,1,3,1,3,2,2,2,3,1,4,1,4,3,3,3,3,3,4,2,3,4,3,4,4,2,4,3,2,2,2,3,2,3,3,3,2,3,4,4,4,4,4,4,3,2,1,4,4,4,4,4,3,1,4,2,2,2,1,2,2,MY,1,5,4,7,5,3,5,5,1,2,4,2,2,2,23,1,10,1,1,1,1,3
2,3,2,2,4,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,4,3,4,3,2,3,3,3,3,3,3,3,4,3,2,3,3,3,3,4,4,3,4,2,3,4,4,4,3,2,2,3,3,2,1,2,1,2,1,PL,1,1,4,2,5,6,7,5,6,5,2,3,1,2,19,1,4,1,6,2,1,3
1,2,3,4,1,4,2,3,3,3,1,4,2,4,3,3,3,2,3,2,1,2,2,3,2,2,2,2,3,3,2,3,3,3,4,3,3,2,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,3,3,3,2,2,2,2,2,1,RO,2,5,2,6,4,5,5,7,4,2,2,2,2,2,24,1,12,1,6,2,1,1
1,2,2,3,2,2,2,2,2,1,2,3,2,3,3,3,4,4,4,3,2,3,1,3,1,4,1,3,2,1,3,3,3,2,3,1,3,1,3,2,4,2,4,4,3,2,3,3,4,4,2,3,2,4,4,3,2,1,2,1,1,2,GB,2,5,6,6,3,7,5,2,2,5,3,1,1,1,20,1,1,2,6,2,1,2
3,3,3,4,2,4,4,2,3,3,4,3,3,4,3,3,2,3,2,4,1,4,3,3,3,3,2,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,3,2,3,2,3,4,3,4,3,4,4,2,3,1,1,2,1,1,1,US,7,7,7,7,7,5,7,5,3,1,2,2,2,1,17,1,12,2,6,2,1,2
1,4,3,4,1,4,2,1,1,2,1,3,1,4,3,4,4,1,3,3,2,3,2,3,2,3,2,4,3,1,4,3,2,2,3,2,2,1,2,1,3,2,4,4,3,4,4,3,4,3,4,2,3,3,3,2,2,1,2,1,2,2,US,2,3,2,5,5,7,6,6,5,1,2,2,2,2,18,2,1,3,1,2,1,3
1,2,4,2,2,3,2,2,2,2,4,3,2,3,3,3,2,2,2,3,2,3,2,3,3,2,2,3,2,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,4,3,3,3,4,3,2,3,1,2,2,1,1,2,BE,2,6,5,7,5,6,5,5,2,2,1,2,1,2,17,1,1,3,6,2,1,2
2,3,3,3,3,3,3,2,4,3,1,3,2,3,3,3,2,2,2,2,1,2,2,3,3,3,2,3,2,3,3,2,3,3,4,2,3,1,2,3,3,2,3,3,3,3,2,3,2,3,3,3,3,2,2,3,1,1,2,1,2,2,US,6,3,5,4,5,3,6,5,5,2,1,3,2,1,15,1,1,4,7,2,1,1
1,1,4,4,4,3,4,4,3,3,4,4,2,4,3,4,3,4,2,2,1,3,3,3,2,2,1,4,3,1,4,4,4,3,4,2,4,1,4,4,4,3,4,4,2,4,4,3,4,2,4,2,4,2,3,1,1,2,2,1,1,2,BR,6,5,5,3,7,5,6,1,7,1,3,3,1,2,27,1,2,1,6,2,1,2
